tweet,favorites,retweets,user,date,hour
"Duplikace vyšetření, nekomunikujici databáze a alibismus pojišťoven... Datový #maiham ve zdravotnictví na #dataconf14. #ehealth",2,0,jakubmracek,22/11/2014,12
"#dataconf14 proč opakovt vyšetření? Nelze poslat data a šetřit pacienta, lékaře a naše finance, mnohdy kvůli zákonům.",2,0,PavelLasak,22/11/2014,12
"#DataConf14 diky veronice za medicinsky motivation speech, @VojtaRocek jdeme delat analytiku do vzp?",5,0,h_onza,22/11/2014,12
"na trideni dat se dostalo i na prednasce z domeny mediciny #dataconf14 
#tridteOdpad",1,0,edison23net,22/11/2014,12
"RT @jakubmracek: .@vojtarocek: Pokud říkáte, že máte #bigdata, pravděpodobně je nezvládáte. #DataConf14",0,5,accusoftinfoway,22/11/2014,12
"RT @jakubmracek: .@vojtarocek: Pokud říkáte, že máte #bigdata, pravděpodobně je nezvládáte. #DataConf14",0,5,VojtaRocek,22/11/2014,12
"RT @jankadlec_cz: Big Data jsou data, která (dnes) nezvládáte (svou) technologií zpracovat. @VojtaRocek na #DataConf14",0,1,VojtaRocek,22/11/2014,12
"RT @PetrTwo: Digital natives = mytus"" #DataConf14 http://t.co/6m1kFcVVm5",0,1,dataconfcz,22/11/2014,12
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,jukben,22/11/2014,12
"RT @zdrojak: Dnešek je plný akcí: #devfestcz v Praze, #DataConf14 v Brně a #barcampcz v Ostravě.",0,4,Radezim,22/11/2014,12
RT @edison23net: mendelejevka je skvelou ukazkou vycucu dat a grafickeho designu #dataconf14,0,1,jakubmracek,22/11/2014,12
#dataoverloaded je tématem i v přednášce V. Bulkove o zdravotnických dat. Akademický #kafemlejnek je toho příčinou. #dataconf14,2,0,jakubmracek,22/11/2014,12
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,Minarth,22/11/2014,12
RT @korinektomas: .@seznam_cz připravuje spolupráci s #TopGis. Na základě obrazové analýzy pak dokážou např. detekovat výmoly na silnicích.…,0,3,zimmicz,22/11/2014,12
mendelejevka je skvelou ukazkou vycucu dat a grafickeho designu #dataconf14,2,1,edison23net,22/11/2014,12
"RT @davidtvrdon: Veronika Bulková: Lekár nerobí nič iné, len zisťuje o vás dáta a na ich základe sa snaží vyvodiť záver. Sú to dátoví analy…",0,2,jakubmracek,22/11/2014,12
RT @davidtvrdon: Užitočná aplikácia na mapy a časové osy: TimeMapper. Vďaka @jakubmracek! #DataConf14 http://t.co/jl0q2bvGMb,0,1,dataconfcz,22/11/2014,12
"Veronika Bulková: Lekár nerobí nič iné, len zisťuje o vás dáta a na ich základe sa snaží vyvodiť záver. Sú to dátoví analytici:) #DataConf14",2,2,davidtvrdon,22/11/2014,12
"Lékař je vlastně nástroj, který jenom kompiluje data. #dataconf14",2,0,XimaraQuerida,22/11/2014,12
RT @RadimHampel: #dataconf14 Jasně nejmladší účastník. #littledata rocks. http://t.co/ZwrulCgNEy,0,1,dataconfcz,22/11/2014,12
Úžasná přednáška @jakubmracek na #DataConf14 ... Víc lidí do oblasti Open data!,7,0,_Juhy,22/11/2014,12
"RT @h_onza: #DataConf14 data v nasem statu nestavime top-down ani bottom-up, mame vlastni system bottom-nikam",0,4,vojtano_k,22/11/2014,11
"Digital natives = mytus"" #DataConf14 http://t.co/6m1kFcVVm5",3,1,PetrTwo,22/11/2014,11
"#DataConf14 data v nasem statu nestavime top-down ani bottom-up, mame vlastni system bottom-nikam",7,4,h_onza,22/11/2014,11
